Feature 1,Feature 2,Feature 3
0.4306269388,0.8016528926,0.4819277108
0.4535345619,0.8390022676000001,0.6009852217
0.31527509600000003,0.877505568,0.619047619
0.248865422,0.709677419,0.568181818
0.218334978,0.7678571430000001,0.46575342500000005
0.202087168,0.7120418850000001,0.38565022400000004
0.170366751,0.75,0.553191489
0.13900194100000002,0.742647059,0.340740741
0.45878946600000003,0.8834688350000001,0.755555556
0.239783774,0.777310924,0.5853658540000001
0.37476150900000005,0.8549618320000001,0.7214611870000001
0.21048376900000001,0.809248555,0.448275862
0.366769844,0.7980049880000001,0.582857143
0.210510034,0.732673267,0.38372093
0.1338322059,0.7235494881,0.4949494949
0.3112511368,0.8006134969,0.6116504854
0.2199357783,0.7654784240000001,0.5446009390000001
0.1464880828,0.8036253776000001,0.47761194030000004
0.1364147082,0.7124010554,0.3015075377
0.4478570382,0.8987341772,0.6421052632
0.3468298718,0.8680555556,0.6363636364
0.3631539154,0.8296296296000001,0.7103825137
0.37830742370000003,0.8514285714000001,0.5392156863
0.46292179590000004,0.8955223881000001,0.7407407407000001
0.3859729937,0.8397790055000001,0.5685279188
0.1626803477,0.7951807229000001,0.4387096774
0.1567301287,0.7541666667,0.3856502242
0.3790730157,0.8492462312,0.6754966887
0.195201076,0.7139037433000001,0.3978494624
0.1436270822,0.736318408,0.39090909090000003
0.290719905,0.725388601,0.49350649350000003
0.1688395653,0.7108013937000001,0.3561643836
0.23497706780000002,0.7476280835,0.4824120603
0.1591120909,0.7819253438,0.5291005291
0.1829872722,0.7586206897000001,0.5033112583
0.2087951461,0.7732696897,0.43209876540000003
0.1443395452,0.8148148148000001,0.48148148150000003
0.18108506500000002,0.7979002625,0.48780487800000005
0.3267249371,0.9028871391000001,0.5677419355000001
0.217488281,0.8382687927,0.48979591840000003
0.1946440404,0.7437379576,0.5185185185
0.5748714239,0.9259259259,0.8356807512000001
0.234837074,0.75,0.5625
0.13957083450000002,0.7320261438,0.3827751196
0.2537434911,0.8277777778000001,0.5288461538
0.19289810810000002,0.8297362110000001,0.5673758865
0.3914562468,0.7788279773,0.6769230769
0.2714015573,0.8508287293000001,0.4166666667
0.1340428645,0.7767857143,0.3771428571
0.2148702251,0.8623188406000001,0.35838150290000004
0.1671139471,0.8309859155,0.34065934070000004
0.3177497033,0.8387096774,0.4757281553
0.2405671368,0.7581699346,0.4565217391
0.2069549349,0.7071240106000001,0.3838383838
0.14210491890000002,0.7400611621000001,0.49
0.1455977768,0.7073170732,0.3553299492
0.3773574813,0.8679245283,0.6315789474
0.24765781320000002,0.8825622776000001,0.6304347826000001
0.1568129682,0.715261959,0.41052631580000004
0.163004917,0.8008948546,0.4819277108
0.5383885606000001,0.9330024814000001,0.7283950617
0.1624002562,0.7608069164,0.4903225806
0.1344057635,0.75,0.4203821656
0.1657390553,0.7457627119,0.3067484663
0.2442274139,0.7457627119,0.40310077520000004
0.24270341550000002,0.836461126,0.6233766234
0.39237167840000003,0.8378378378,0.6783625731
0.3981808585,0.8051948052,0.6860465116000001
0.1613605904,0.7351129363000001,0.41758241760000003
0.20427381390000002,0.7753479125,0.42391304350000003
0.2633834165,0.7692307692,0.527027027
0.1934474777,0.7596439169,0.35359116020000003
0.3094332775,0.8417266187,0.37037037040000004
0.1606425034,0.7798742138,0.3233532934
0.3664491192,0.8118081181,0.5617977528
0.2534027069,0.7313915858000001,0.42391304350000003
0.2426952768,0.7001477105,0.45
0.1852503194,0.8463768116,0.5238095238
0.26366003920000003,0.7966573816,0.5409836066
0.1777092396,0.7393225331000001,0.44585987260000004
0.1815161287,0.8583690987,0.5535714286
0.4593372161,0.8010899183,0.6153846154
0.2752502419,0.8927536232000001,0.5185185185
0.21206064130000002,0.7816091954000001,0.4844720497
0.2258172367,0.7954545455,0.49382716050000003
0.2245965541,0.7961165049000001,0.5149700599
0.2369898749,0.7701863354,0.4713375796
0.259101437,0.7547169811000001,0.4824120603
0.28778035750000003,0.7675276753,0.5828571429
0.3256883444,0.8593155894000001,0.6222222222
0.220609774,0.7490636704,0.4581005587
0.18625946570000002,0.8,0.5257142857
0.14052092530000002,0.7104477612,0.4946236559
0.3191174579,0.8363636364,0.5647058824
0.39875500010000003,0.8505747126000001,0.5966850829
0.2658211829,0.8175182482000001,0.6555555556
0.3362295642,0.8666666667,0.6896551724000001
0.2106225603,0.797274276,0.5851063830000001
0.1339014939,0.7267267267,0.3723404255
0.404906376,0.9230769231,0.7177033493
0.2660215422,0.8,0.4516129032
0.2160947373,0.79,0.4
0.2681630523,0.7875647668,0.4893617021
0.3258217048,0.8281938326,0.7213114754000001
0.2364818065,0.7706422018,0.512
0.213737639,0.7635327635,0.5508982036
0.2422721854,0.75,0.41228070180000004
0.2035844712,0.8284023669,0.4561403509
0.2078422915,0.7163636364,0.30851063830000003
0.1622701929,0.7490636704,0.30263157890000003
0.1757922781,0.7855297158000001,0.43708609270000004
0.3837667281,0.8167202572000001,0.5695364238
0.1886237051,0.8317460317,0.472972973
0.22433308070000002,0.7774086379,0.44871794870000004
0.1417840207,0.7266435986,0.3354037267
0.23773018240000002,0.8129032258000001,0.4171779141
0.17483359380000002,0.7796610169,0.4142857143
0.1554808896,0.7050691244,0.3850931677
0.2545056215,0.8762376238,0.6277372263000001
0.1352686189,0.7148936170000001,0.34394904460000003
0.1918090403,0.7232704403,0.48275862070000003
0.16655869850000002,0.7391304348000001,0.4210526316
0.15390884,0.7301587302,0.4844720497
0.15759079110000002,0.8181818182,0.4832214765
0.20166020480000002,0.8223844282,0.496350365
0.1971095645,0.7861271676,0.4331210191
0.24440444790000002,0.836565097,0.48275862070000003
0.2706850314,0.8169014085,0.52
